draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,eta.1,eta.2,eta.3,eta.4,eta.5,eta.6,eta.7,eta.8,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8
0,-35.03393314151826,0.8111815873715108,0.32450183095339463,3.0,15.0,0.0,38.999974635140006,0.2441595887336918,14.042551096147108,1.2461580632846712,0.9526482083717345,0.5076858173576869,-0.09428291203598704,-0.19049003349313248,0.05926068377918223,0.7444513307117251,0.04426748081197318,17.743397866284408,13.62177073144677,7.373363619768218,-1.0798130210251993,-2.430806439900395,1.0763307686954744,10.698155438847799,0.8657879499335368
1,-42.156608223856566,0.8962793403760084,0.36533586583332056,3.0,15.0,0.0,45.725760741661546,17.37357074594259,12.038273245050364,-0.4389584399108918,-1.6726118902510299,0.5138958733663244,-1.751606939284823,-2.1862168696570956,-0.3287656496392494,0.520775238937653,-0.3104405676385691,12.089269103074255,-2.761788221819497,23.559989689030203,-3.7127522070944536,-8.944705303928185,13.415800021998812,23.64280537153045,13.636402366360956
2,-40.72622876732479,0.977041952108061,0.3470325062439781,3.0,7.0,0.0,44.24914168317898,9.873555913193897,2.0195411968880705,0.571200655380619,0.8862604765006641,-1.8623214004559976,0.17067060205762946,-0.7047243266181986,-1.502691331767023,-0.5295238904831454,1.3468466468908302,11.027119168424523,11.66339545666064,6.112521123126724,10.21823222514697,8.450336103139241,6.838808862483795,8.804160601626737,12.593568202480489
3,-46.52723276482593,0.8326297132229248,0.3037260837296746,4.0,15.0,0.0,50.14822300254776,1.3175676702627475,0.4536647712690417,0.8912930012048447,-0.5903508851718335,0.6167370952037808,-2.694956203288709,0.2925498116683965,2.4476224037846492,0.2063731334919413,-0.009130749740353522,1.721915905788041,1.0497462709727912,1.5973595634915039,0.09496098071769032,1.4502872136580918,2.4279677282286922,1.4111918906644445,1.3134253707702752
4,-35.19853864483687,0.8764824066021369,0.32450183095339463,3.0,15.0,0.0,36.836277204529125,1.2475165246631805,17.81491977074003,0.5672556453267089,-0.36289383017264176,-0.8091320463288532,0.5114444393372926,0.20534440640699272,-0.03704660311564183,0.33199160498985536,0.18259571503580735,11.353130335657863,-5.21740794515899,-13.167105964620042,10.358858178648163,4.90571065017399,0.5875342623795737,7.161920332116669,4.500444538506997
5,-41.15366108980403,1.0,0.36533586583332056,3.0,7.0,0.0,44.20506562009064,19.060445925577145,8.442357099567086,-0.4462439223369434,-1.3188781185063734,0.4691597503843581,-1.6889868942582749,-2.4407730498880325,-0.7801341311610173,0.6313666557753688,-0.5798652040502024,15.293095379697188,7.926005878341183,23.02126007506565,4.801415427760034,-1.5454317605770953,12.47427500475533,24.390668694392257,14.165016803372001
6,-40.060099901747165,0.435181647026592,0.3470325062439781,3.0,15.0,0.0,46.272449781121736,8.989798494895847,15.745875414596366,1.9230934447834762,0.7856394493123436,-0.2087742683330922,-0.12403646929261729,0.0199713490717654,-0.3393642402241471,1.7218499855321767,1.0130712535046533,39.27058828708342,21.360379384560105,5.702464875949467,7.036735702547888,9.30426486924128,3.646211448157275,36.10183384971006,24.94149223868909
7,-45.440635834062284,0.956034412401024,0.3037260837296746,4.0,15.0,0.0,56.23342956303285,10.757270603796885,1.258984952758487,1.191705310706385,0.10758467200226113,1.2299692841230856,-3.4940332349021648,0.020057936973240542,1.0932399865476228,0.5820631008626089,-0.19403310224069345,12.257609658098602,10.892718086995188,12.305783424862977,6.358335336616999,10.782523244629573,12.133643296614233,11.490079289338855,10.512985847738802
8,-34.216009605971045,0.9391063459651061,0.32450183095339463,4.0,15.0,0.0,36.3822071970085,14.21162990300247,12.684003787982132,0.5313646910388736,-0.5353752209529699,-0.7411040606208703,-0.18265930498288646,-0.6787424003728432,-0.4809488563329265,0.10112112246064661,-0.704073047007524,20.951461656939497,7.420928572443229,4.811463190798412,11.894778586689354,5.602458725609242,8.111272787449956,15.494250603338315,5.281164707742914
9,-45.16340837473009,0.7006785428661287,0.36533586583332056,4.0,15.0,0.0,52.13829852756596,4.846758706139208,2.051553918515728,1.4122374803664304,2.712017888077174,1.7440277853090729,-0.21746732857376838,-1.7704370723337308,-0.708321252433673,-0.4144840387192779,1.2620066976595363,7.744040042859737,10.410609631508684,8.424725743090343,4.400612756054546,1.214611592907429,3.393599465140938,3.9964223523424485,7.435833491915723
10,-39.392205830702196,1.0,0.3470325062439781,3.0,7.0,0.0,42.9024052177652,3.428915449794009,1.7487001252533807,-0.18488106100429214,0.5601464080753953,1.4576094693479937,0.7671692525628041,-0.42063112828747495,-0.3164641419653048,-0.29830060057714464,-1.040510924515179,3.1056139152588256,4.408443543755684,5.97783731141336,4.7704644178411275,2.6933577430722306,2.875514565101077,2.9072771522015977,1.6093738657668049
11,-38.962320467106515,0.9996563930592551,0.3037260837296746,3.0,7.0,0.0,48.53194038743143,9.085118045014788,8.294189182365121,0.14356454955816528,0.5775785871395651,0.7502851774435462,-1.387192654368597,0.6593542180213054,-1.3987605888754957,0.7933055568619144,0.060705464426696956,10.275869578931244,13.8756641144335,15.308125247455944,-2.4205202627055886,14.553926667473913,-2.516466899955015,15.664944413049017,9.588620651373148
12,-36.654563532505506,0.4243208280125344,0.32450183095339463,3.0,7.0,0.0,40.09634915955793,6.9775406445911745,10.047700652194987,0.40205068093350194,-1.2918901959051574,-0.7972964149638535,-0.34170403831206236,-0.14432924413635875,0.253240762221249,0.03040348345243662,-0.2906580805115746,11.01722553362216,-6.002985319369385,-1.033455064033861,3.544200755985405,5.527363604151473,9.522028016323974,7.283025745105221,4.057095259469284
13,-43.4854553577384,0.999954440459676,0.36533586583332056,3.0,7.0,0.0,48.12410727694675,6.035137480810398,2.5530132591023245,1.2125771016176745,2.104945891746585,1.5829344928998408,-0.5798879070265992,-2.010978838643288,-0.9183732722555348,-0.3986683544860315,1.216719038276765,9.130862898924189,11.409092252132396,10.076390229474107,4.554675965378395,0.9010818419798907,3.6905183399368293,5.0173318858230544,9.141437318133208
14,-40.16566112796719,0.987532660899898,0.3470325062439781,3.0,15.0,0.0,43.70882894515133,10.077301322263928,3.7883688005796565,-0.1085218118634513,-0.35863223922410137,1.6798537091997072,1.7874833831776058,-0.38181141104155475,0.19943428144157932,1.1171550549361526,-0.4065394195287228,9.666180676018053,8.718670136305322,16.44120670373411,16.84894760264854,8.630858884968807,10.832831931843229,14.3094966777939,8.53718006911555
15,-40.79860519350626,0.7529878839602795,0.3037260837296746,4.0,15.0,0.0,44.881808756215165,5.272915746900299,0.8971531625959286,-0.34544816612664886,-1.0208087721823984,-0.23455381352147947,1.8028598562183928,-0.8911275825360414,0.6037096858456674,-0.14882208027640298,1.1521582392781666,4.962995832146812,4.357093928531194,5.062485051300568,6.890357168623871,4.473437817951625,5.814535800846534,5.139399546916219,6.306578155079663
16,-35.93102489052626,0.9921907202738949,0.32450183095339463,3.0,7.0,0.0,38.73315436512339,9.337861163649665,8.399328433188419,0.15179374851936178,0.8127963094478152,-0.060724943178222454,0.08318260750189135,-1.0894099867432143,-1.0904481183283936,0.6707835307510635,0.6898651213816552,10.612826711568593,16.16480431598531,8.82781242180907,10.036539203987052,0.1875488865979662,0.17882927845717944,14.97199234600159,15.13226489273558
17,-39.50376838494782,0.9934516763379548,0.36533586583332056,3.0,7.0,0.0,46.84692343079667,7.320135402161243,4.794750037132832,-0.43670409642263486,0.7943076424543971,1.0213967614080004,0.06774705379214643,0.2334348971955138,1.8259338313345737,0.7449315514077653,0.40997430350601777,5.226248419622754,11.128642000314356,12.217477561849607,7.644965590846777,8.439397384157532,16.075031707754786,10.891895985935044,9.285859709120228
18,-40.53272209669874,0.8551404010869406,0.3470325062439781,4.0,15.0,0.0,45.49716317000538,8.76086411961154,2.128632261911169,0.32193195150667997,0.3838959767828443,-1.8491015870930605,-1.665308376747246,0.3574192514642498,-0.39601200964760186,-0.9817225694222134,0.8168186818684389,9.44613885772868,9.578037481009403,4.824806825774107,5.216034982836433,9.521678269306483,7.917900179771378,6.671137786093089,10.499570717968455
